sentence,brand,sentiment
중국 정부의 미친듯한 보조금 낮은 마진율 기술검증 없이 그대로 때려박는 중국 업계 특에 삼성 삽질 때문에 유독 기술 격차가 뒤집힌것처럼 보이는듯 삼성도 이제 적극적으로 신기술들 도입할때가 됐음,samsung,negative
유료전환이 만약 올해 갤럭시를 사서 ai를 써도 2025년부터는 유료로 바뀐다는 것인가요,none,
이번 갤럭시가 엄청 잘나오긴 햇죠,samsung,positive
삼성페이도 되고 디노 백팩 너무 예쁘네요,samsung,positive
갤럭시 잘 나왔네,samsung,positive
갤럭시에서 넘어갈만 한가,samsung,neutral
아직 갤럭시 쓰는데 바꿀 이유가 없네요,samsung,positive
기기를 딱히 바꿀 이유는 없는데 ai기능이 확 좋아져서 이거 팔고 갤럭시 살지 1년존버할지 생각중 덕질하느라 갤럭시 산건데 갤럭시카메라도 만족스러워요,samsung,positive
그리고 맥도 neardrop으로 다시 테스트 해 보니 잘 되네요,apple,positive
엑시모델을 들고있지 않아 삼성아 엑시는 제공해주지 않은것이냐,samsung,negative
갤럭시5가 사실상 거의 완성형이고 6부터는 자잘한 개선정도일듯,samsung,neutral
가격 동결이라고 하고 삼성전자 기준 24u 사전예약이랑 25u 사전예약이랑 가격차이가 10만원 차이 나는데 가격 동결이 맞나요,samsung,negative
솔직히 삼성만 쓰는 사람으로써 25 너무 탐나네여,samsung,positive
자급제로 샀는데 흑 요새 확실히 갤럭시 qr가 이전보다 떨어지는 느낌입니다,samsung,negative
갤럭시에서 난 아직 존버한다,samsung,positive
저는 심지어 13프로맥스 카메라 멍이 있었어서 26마넌주고 수리해서 쓰고있어요,apple,negative
삼성 특 항상 뭐 하나씩 빼먹고 내서 아쉬운 소리 들음,samsung,negative
갤럭시 좋아요,samsung,positive
갤럭시 앵글 해서 갤럭시 디자인 갤럭시 써클 해서 플러스 디자인으로 성능은 똑같이 나왔으면,samsung,neutral
삼성 참 깝깝하다 영상 잘 봤습니다,samsung,negative
갤럭시 팔리지도 않는거 꾸역꾸역 만들어서 산업폐기물 만들기,samsung,negative
그리고 갤럭시만 썼는데 이번엔 기본 갤럭시가 젤 예쁘더라구요,samsung,positive
돌아온다면 갤럭시울트라 나올 때까지 더 기다릴텐데,samsung,positive
삼성이 이제 화이트는 한정컬러가 되었나 보네요,samsung,neutral
아이폰 유저인데 이거보니 갤럭시에도 관심이 가네요,samsung,positive
아니 갤럭시리스크를 줄인게 왜 갤럭시임 갤럭시라고 부르는 사람들은 명존쎄가 아니라 명치존이라고 함 울라리가 맞는 표현임,none,
이제 갤럭시시리즈들을 가성비라 말할 수 있을까,samsung,negative
항상 갤럭시디자인리뷰사용리뷰는 주연님껄 잘 보고있는데 이번 갤럭시6는 넘사인거같네요,samsung,positive
갤럭시는 더 잘나오는데요,samsung,positive
갤럭시는 색상아쉽지만기본 플러스는 넘 끌리네요,samsung,negative
감사합니다아 다음 시리즈도 기대할게요,none,
갤럭시 곡선이 훨이쁘네,samsung,positive
갤럭시마린 하고 화이트중 어떤걸 골라야 하나요,samsung,neutral
아이폰은 채도가 점점 올라가고 오히려 갤럭시 색감이 좋다,samsung,positive
갤럭시 앵글 해서 갤럭시 디자인 갤럭시 써클 해서 플러스 디자인으로 성능은 똑같이 나왔으면,samsung,neutral
겔럭시24티타늄 이자나요,none,
전 갤럭시 구입했는데 벤치는 2140 7150 이상은 나오네요,samsung,neutral
현재 갤럭시 퀀텀4 쓰고 있는데 iphone 16 아이폰 바로 써도 괜찮을까요,none,
갤럭시가 이뻐서 뽐뿌 제대로 오던데 아직 너무 비싸 가격이 안떨어지는거 보니 인기가 많아서겠죠,samsung,positive
저도 투폰아이폰 아이폰 갤럭시 써서 가벼운 휴대성에 매우 만족하는중,none,
삼성긴장해야됨,samsung,negative
슈피겐의 저 틴탭맥핏 아주 물건입니다,none,
주연의 한마디 역대 거의 최고의 갤럭시지만 쓰려는 자 그 무게를 견뎌라 쿠팡에서 아무거나 사러가기 위 쿠팡 링크로 제품을 구매하면 소정의 수수료를 받아 채널 운영에 도움이 됩니다,none,
그냥 플래그십 엑시노스는 제발 포기했으면 좋겠다,samsung,negative
다른 폰들은 멀쩡히 충전 잘되는데 갤럭시만 유독 그런 증상이 있네요,samsung,negative
갤럭시 엑시노스는 사는게 아니라 배워서 별수없습니다,samsung,neutral
저반사코팅은 갤럭시북 화면처럼 굳이 터치 필요 없는 거에만 들어가야지 폰이나 탭같은 모바일 디바이스에는 들어가는 게 오히려 디메리트인 듯 필름은 고릴라 글라스든 뭐든 들고다니는 기기는 필름이 거의 필수적이라 스크래치보다도 떨어트렸을때 필름이 인장력때문에 액정 금가거나 깨지는 거 막는 거에 탁월함,none,
무조건 16이 낫겠더라 15프로 사용해본사람은 다 알텐데 발열이랑 배터리 순삭 이건 정말 짜증나서 이번에 와이프 갤럭시 난 16프로로 바꿈,apple,negative
이쯤되면 곧나올 갤럭시플립과 내년에나올 25시리즈는 얼마나 롱텀일지 기대가됩니다,samsung,positive
1 카메라 컨트롤 저는 원래 14프로맥스를 사용했었는데 아이폰가 너무 크다고 생각해서 이번에 16프로로 구매했습니다,apple,positive
저렇게 나란히 놓고보니 갤럭시24가 이쁘네요,samsung,positive
갤럭시는 사진 잘나오네요,samsung,positive
2주 사용자가 보는 2달 사용자의 리뷰 갤럭시 쓰다가 갈아타서 그런가 저는 그냥 다 좋습니다,none,
인강 영상 용으로 화질 스피커 좋은 갤럭시탭 추천 부탁드립니다,none,
다 똑같아도 s펜을 포기 못해서 어쩔 수 없이 갤럭시로 가는 사람도 많은데,samsung,positive
25 잘나온거 같은데 22u 쓰는 입장에서 다시는 삼성 사고싶지 않다,samsung,negative
무엇보다 예구한지 한달도 안되서 가격 급락하니깐 겔럭시 정떨어짐,samsung,negative
오히려 갤럭시 쓰다가 플러스 쓰면 작아서 답답해서 못쓸거임,samsung,negative
어자피 중국산 부품은 삼성 마이너 부품들이라 하나하나까보면 삼성품질이 높은데 ap가 문제네,samsung,negative
나중에 갤럭시분해쇼,none,
엑시노스,none,
손이 약간 더 큰 남자라서 그런지 갤럭시 한표요,samsung,positive
애플 인텔리전스가 이번 16시리즈의 핵심인데 정작 바로 쓸 수 없다는 게 아쉽습니다,apple,negative
그냥 갤럭시한번 써볼까 싶으면 절대로 사지마세요,samsung,negative
갤럭시 사는 이유 게임 및 s 펜 둘 다 필요 없으면 작은 거로 사세요,samsung,positive
갤럭시 있으면 바로 갈아탈수 있는데,samsung,positive
갤럭시 살짝 땡기네,samsung,positive
그동안 기변 욕심이 없었는데 이번 갤럭시 ultra를 보니 마움이 생겼습니다,samsung,positive
갤럭시 울트리 잘 뽑았더니 왜 이러냐,samsung,negative
갤럭시 기대이하라서 구매각은 아니네요,samsung,negative
크기가 대서양이네 아이폰이 디자인이 괜찮아서 산다는사람 뭐냐 갤럭시가 훨씬 좋네,samsung,positive
갤럭시 디스플레이 불량 gps 불량 gos 여전히 성능 저하 카메라 최적화 실패 스피커망 마감 처리 불량 최악의 폰을 홍보 잘해주시네요,samsung,negative
벌써 시리즈가 6까지 나왔는데 1 나왔을 때부터 이해가 안 됐던 단점들이 아직도 해결 안 됨,samsung,negative
위치가 포스센서는 설정으로 맥북 트랙패드처럼 조정해주면 조금 완화는 되더라구요,none,
실시간 통역이라면 오프라인에서도 휴대폰을 켜놓으면 가능한지 사진 찍을때 ai가 아이폰 느낌의 감성도 나올수있게 되는지 그리고 무엇보다 갤럭시 줌 기능도 여전히 격변을 일으킬정도인지 이번에 ai통해 줌기능도 150배가 흐트러짐이 없다고 하네요,samsung,positive
갤럭시,none,
40만원 짜리 갤럭시에도 들어가는 120hz와 카메라 3개가 안되는 아이폰 기본형을 쓰는 사람들 신기함 마치 동물원의 원숭이 보는 느낌,apple,negative
갤럭시 무게 돌려줘도 되니깐 s펜좀,samsung,negative
갤럭시 갖고싶다,samsung,positive
갤럭시 달 찍을때 ai 보정이라고 삼성도 인정함,samsung,neutral
갤럭시는 무게좀 줄여주고,samsung,negative
생긴게 전철에서 야동보는 갤럭시 사용자같네,none,
울라리가 갤럭시 리스트 약자인가요,none,
갤럭시에 삼성 반도체가 안들어간다는게 말이 되냐 삼성 반도체 md부문에서도 불신 한다는게 삼성은 살아날 기미가 안보이는구나,samsung,negative
3년 전 까지만 해도 갤럭시가 사진 찍었을때 느낌이 애플에 비해 부족했는데 버전이 올라갈수록 애플만큼 더 올라가고 기능성능 모든면에서 지금의 갤럭시가 확실히 애플보다 더 좋은듯 게임러라면 걍 갤럭시고근데 호불호가 갈리는 이유가 요즘엔 크기랑 로그인 문제때문에 갈리는듯,samsung,positive
기본형 크기로 좋은 스펙의 플러스나 갤럭시를 내주면 살텐데플러스도 크기가 묘하게 커서 사기가 고민돼요,samsung,negative
성능은 좋은거 같은데 삼성기술 없는 갤럭시이라 삼성도 믿지 못하는 삼성반도체라는건데 이게 좀,samsung,negative
사실상 아이폰 16시리즈는 아이폰 15s 시리즈라고 봐야겠네요,apple,neutral
갤럭시는 묻따,none,
chat gpt나 이런걸 사용하지 않고도 비서 역할을 할 수 있는 llm siri 제발 llm siri는 ios 19 베타 1부터 사용 가능하고 다국어 지원도 됐으면 좋겠네요,apple,negative
지금 갤럭시 나오는거 살까 아이폰 16살까 고민중인데 곽튜브님 때문에 정했어요,none,
저도 10년 아이폰 쓰다가 갤럭시로 넘너왔는데 신세계네요,samsung,positive
아이폰프맥이랑 애플워치se에서 아이폰프로 애플워치10으로 갈거에요 에어팟은 아직 에어팟프로1을 잘 쓰고 있어서 고장나면 바꿔야겠네용,apple,positive
왜 신작이 나올때마다 전작이 선녀로 보이는 폰을 만드는거냐 삼성,samsung,negative
2개월전 영상에서 24사용하고 후기 올린다 해놓고 갤럭시 사용기 올리네,none,
아이폰쓰지만 갤럭시부터는 자꾸 눈이가네,samsung,positive
갤럭시플러스 존버,samsung,positive
이번 갤럭시은 저 카메라 링이 너무 별로임 갤럭시도 디자인 잘 나왔는데 카메라 링이 다 망쳤음,samsung,negative
탭 갤럭시도 올려주세요,none,
그냥 플래그십 엑시노스는 제발 포기했으면 좋겠다,samsung,negative
갤럭시 갤럭시도 괜찮나요,samsung,neutral
좀 갤럭시 같은 작은데 플래그십인 폰은 왜 안 만드는거냐 플래그십을 쓰려거든 그 무게를 견뎌라 뭐 이런거야,samsung,negative
플러스 스냅 탑재 국내출시했으면 다들 갤럭시대신 플러스 샀을듯,samsung,neutral
갤럭시 절대 사지마셈 일주일전에 갤럭시 새거 샀는데 사자마자 인터넷 조금만해도 발열 심한게 찝찝하다 싶었는데 일주일도 안되서 액정에 점같은 잔상이 전체적으로 우드드드 올라옴,samsung,negative
아이폰 16 아이폰 아이폰나 갤럭시가 69인치화면이란 소문이 있던데,apple,neutral
엑시노스2400마냥 천천히 왔습니다,none,
갤럭시 아무리 좋아도 안썻던이유는 배터리 빨리달고 발열이 항상있었기 때문입니다,samsung,negative
갤럭시사려하는데 좋은영상 감사합니다,samsung,positive
좋다 갤럭시답네,samsung,positive
아 갤럭시 첨에 배터리 잘가는줄 알았는데 모뎀문제라 그런지 야외에서 배터리가 참 들쭉날쭉하네요,samsung,negative
갤럭시se 는 언제 나올련지요,samsung,neutral
다만 갤럭시탭s10 시리즈보다 좀 더 좋은 코팅입니다,none,
삼성페이좀 태깅 잘되게좀해라,samsung,negative
아 이제는 갤럭시로 갈아타야할까,samsung,positive
갤럭시 일반 네이비랑 삼성전용 블랙이랑 고민주인데 삼성전용이더비싸죠,samsung,neutral
이런 부분을 미리 알았더라면 무리해서라도 갤럭시 샀을텐데,samsung,positive
갤럭시 일주일째 사용중입니다,samsung,neutral
영상 후반에 나오는 광고는 갤럭시입니다,none,
겔럭시용도만들어 주세용,none,
굳이 펜쓰는 사람때문에 갤럭시가 나오는거라면 반대에요,samsung,negative
인구는 줄어들고 매출도 줄어들고 중고는 넘쳐나는데 신폰은 비싸게 팔고 싶고 무한루프에 빠진 삼성과 한국의 딜레마,samsung,negative
갤럭시는 언제출시되는지 궁금하오,samsung,neutral
아니 애초에 완성도 폐급쓰던시절에 안드로이드쓰다가 이미 쓸만한시점에와서 왜 아이폰사가지고 징징거리는거임,none,
평생 애플만 쓰다가 갤럭시 너무 잘 나온것같아서 마음이 왔다갔다 합니다,samsung,positive
12프로맥스 퍼시픽블루 나에겐 역대급 아이폰진짜 만족하며 썼는데 카메라 실행시 까만화면으로 속터질때가 종종 생겨 16프로 사전예약했습니다,apple,negative
갤럭시마린 포 더 엠퍼러,none,
아이폰 언팩 직전 갤럭시리뷰라 귀하군요,none,
상황 요약 1 기존 안내 공지와 예정에 없었던 라이브 중 2 추가적립이라는 문구가 네이버 측의 오류로 약 13분 동안 방송 중 노출 2 13분 동안 구매하신 분들에 있어서는 해당 문구를 보시고 구매한 분들도 있어서 추후 적립금 회수 없이 그대로 적용 3 배너가 사라진 이후에는 원래 공지되었던 추가 적립 없는 최종 혜택가격 그대로 판매 상세 설명 핫it슈가 삼성전자와 함께 준비했던 사전예약 내용에는 라이브 중 2 추가적립 내용은 없었고 물론 그 2 적립 없이도 사전예약 기간 중 보실 수 있는 거의 최저 금액으로 준비하였습니다,none,
주연님 영상보고 갤럭시플러스로 사전예약 막차타요,samsung,positive
삼성 광고비 받으면서 괜히 밉보일까봐 몸사리는거지,none,
it 댓글특징 아이폰찬양 갤럭시틀딱폰쌍욕 중국폰갤럭시보다좋다,none,
11시리즈에서 젠3 ap 탑재해서 성능을 아이패드 급으로 올리고 이것저것 업그레이드 해서 나온다면 가격도 그에 따라 동반상승이 불가피하고 사용자 측면에서 오버스펙이 될 수도 있습니다,apple,negative
특히 메인보드 고장 정말 잘남 주름개선 한달이상쓰면 더심해지고 더신경쓰임 애초에 휴대폰 요즘 많이 만지는데 계속접었다 폈다해보셈 금방고장남 이런건 사는게아님 중고매물 가격폭락1위가 갤럭시인 이유가있음,samsung,negative
잇섭님 워치7 배터리 광탈 이슈로 지금 갤럭시 관련 커뮤니티에서 난리인데요,none,
폰 ap 카메라는 어차피 수입이고 최적화는 이미 10년전 다 평준화 되었는데 개인적 10년전 중국에 주재원 생활했는데 비싼삼성대신 샤오미 썻고 중국내 삼성점유율도 박살난지 15년도 넘었음,samsung,negative
아이폰 유저들이 os얘기하는데 아이폰 os좋은거 인정이야 삼성os에 문제있는것처럼 말하잖아 갤럭시으로 게임돌리고 동영상보고 어플 10개씩 켜고 돌려도 문제없이 잘돌아가 아이폰보다 os기능이 떨어져도 사용하는데는 문제없다는거지 아이폰은 사용자들에 편의성 배려가 전혀없어 페이야 그렇다 치더라도 클립보드 알람 스누즈9분 통화내역에서 누르면 바로 전화연결까지 매우 킹받는 기능들이 많아 솔직히 그렇게까지해서 아이폰을 쓸 이유를 모르겠단 말이지 삼성은 폰2년쓰면 버벅거린다 그러고 1년쓰면 중고폰 가격 10만원 이라하고 말도 안되는 억까하잖아,none,
갤럭시4가 고장이 안나서 갤럭시7정도에 생각해볼께요,samsung,positive
gen 3 for galaxy라고 해봤자 다른 젠3 탑재 안드로이드 폰에 비해서 성능이 많이 후달림,samsung,negative
지인이 샀길래 봤는데 이번에 예쁘게 나와서 다음폰 갤럭시로 갈까 생각 확 들었네요,samsung,positive
이번 일반 시리즈는 덜한데 최근 아이폰 뒷면 너무 하얀색이라고 생각해요,apple,negative
크기마다 급 나누기 너무 심하다 사려면 플러스 갤럭시 사라 삼성 이번엔 쫌 실망스러움,samsung,negative
개쓰레기폰 유리폰에 고장많고 무겁고 쓸모없음 삼성쓰레기 안녕하고싶다,samsung,negative
아이폰 15 살까 고민중인데 갤럭시도 나쁘지않아 보이네요,samsung,positive
갤럭시 워치 런닝 모드는 애플워치에 비해 어떻나여,none,
삼성 갤럭시 인기가 이번에 핫하네요,samsung,positive
제가 현재 갤럭시 쓰고 있는데 갤럭시와 갤럭시중에 고민입니다,samsung,positive
저는 갤럭시2 시절부터 갤럭시만 쓰고있는데 개인적으로 너무 아쉬운게 화면이 더욱 커지는게 아니라 아주 약간 몇미리씩 비율만 조금 바뀌는 점입니다,samsung,negative
13프로맥스 쓰다가 애낳고나니까 손목이 너무 아팠어요,apple,negative
카메라를 갤럭시가 좋타고 하네,samsung,positive
혹시 삼성에 맙상으로 찍히심,none,
오랫동안 갤럭시 5g사용자였다가 이번에 갤럭시ult로 기변 했는데 일반인 입장카메라 주사용에서는 큰 차이를 못느끼겠습니다,samsung,negative
어짜피 갤럭시 쓸꺼긴 하지만 좋은영상 잘보고 갑니다,samsung,positive
렌더링 20퍼센트 넘게 차이나는건 사실상 3세대 이상 차이나는 기술력이란거지 삼성 엑시노스로 한국 소비자들한테 개발비 뜯어가는거임,samsung,negative
걍 빠름 원래 a90 갤럭시 썼는데 쇼오옥 아니면 쇼옥 이런 느낌이면 갤럭시플러스는 쇽 이런 느낌임,samsung,positive
드디어 갤럭시에도 쓸만한 워치가 나왔네요,samsung,positive
엑시노스를 날리고 퀄컴으로 완전히 갈아탔으니 더 뒷말들은 안 나올 듯,samsung,positive
성능 좋긴한데 삼성 갤럭시가 최고지 아이폰은 아무것도 아니야,samsung,positive
핸드폰 급 고장나서 갤럭시플러스 샀는데 넘 무거움,samsung,negative
그동안 ai나 다른 기술들이 이렇게 발전했나 싶고 삼페나 통녹은 더더욱 좋구 확실히 한국에서 사용하기엔 서비스부분이며 삼성이 훨 편한거같아요,samsung,positive
